RFSI_NO,SITE_NO,SURVEY_SITE_NAME,LOC_SEG_NO,REEF_NAME,SURVEYDATE,SURVEYTIME,REEF_ZONE,SURVEY_METHOD,TRANSECT_LENGTH,TRANSECT_WIDTH,DEPTHREL_CREST,ACTUAL_DEPTH,SOURCE,PERCENTLIVECOVER
41021,2,Patungan,41021,Patungan,2014.04.02,9:00,Reef slope,,,,,,,
41022,2,Calumpang 1,41022,Calumpang 1,2014.04.02,9:00,Reef slope,,,,,,,
41023,2,Calumpang 2,41023,Calumpang 2,2014.04.02,9:00,Reef slope,,,,,,,
41024,2,Marvela,41024,Marvela,2014.04.02,9:00,Reef slope,,,,,,,
41025,2,San Jose 1 ,41025,San Jose 1 ,2014.04.02,9:00,Reef slope,,,,,,,
41026,2,San Jose 2,41026,San Jose 2,2014.04.02,9:00,Reef slope,,,,,,,
41027,2,Alas-asin,41027,Alas-asin,2014.04.02,9:00,Reef slope,,,,,,,
41028,2,Lucanin,41028,Lucanin,2014.04.02,9:00,Reef slope,,,,,,,
41029,2,Corrigedor 1,41029,Corrigedor 1,2014.04.02,9:00,Reef slope,,,,,,,
410210,2,Corrigedor 2,410210,Corrigedor 2,2014.04.02,9:00,Reef slope,,,,,,,
